1	Ich	19278	ich
2	ist	18703	sein
3	ich	17337	ich
4	nicht	16629	nicht
5	Sie	14444	sie;Sie
6	du	13487	du
7	das	12872	das
8	die	12847	die
9	es	10298	es
10	und	10046	und
11	der	9290	der
12	zu	9021	zu
13	sie	7849	sie
14	Das	7420	das
15	ein	7315	ein
16	in	7171	in
17	wir	6536	wir
18	Du	6444	du;Du
19	mir	6242	mir
20	mit	6015	mit
21	Was	5778	was
22	den	5730	der
23	mich	5629	mich
24	was	5264	was
25	auf	5177	auf
26	dass	4853	dass
27	er	4794	er
28	eine	4674	eine
29	Es	4552	es
30	hat	4518	haben
31	Wir	4493	wir
32	Und	4404	und
33	so	4359	so
34	sind	4328	sein
35	von	4314	von
36	dich	4294	dich
37	war	4207	war
38	haben	4201	haben
39	für	4181	für
40	Ja	4154	ja
41	hier	4092	hier
42	an	3859	an
43	habe	3682	haben
44	Er	3654	er
45	bin	3595	sein
46	wie	3591	wie
47	noch	3414	noch
48	dir	3385	dir
49	uns	3283	uns
50	sich	3277	sich
51	Die	3256	die
52	nur	3179	nur
53	einen	3134	ein
54	Nein	3032	nein
55	dem	2952	der
56	ihn	2740	ihn
57	auch	2728	auch
58	hast	2716	haben
59	sein	2690	sein
60	ihr	2675	ihr
61	da	2674	da
62	aus	2653	aus
63	kann	2653	können
64	aber	2640	aber
65	Aber	2620	aber
66	schon	2598	schon
67	wenn	2559	wenn
68	wird	2477	werden
69	um	2410	um
70	Wie	2379	wie
71	als	2329	als
72	bist	2269	sein
73	im	2258	in
74	mal	2225	mal
75	doch	2174	doch
76	gut	2138	gut
77	meine	2087	mein
78	jetzt	2066	jetzt
79	weiß	1986	wissen
80	Wenn	1964	wenn
81	werden	1928	werden
82	Der	1908	der
83	nach	1836	nach
84	ja	1824	ja
85	Oh	1811	oh
86	oder	1808	oder
87	dann	1796	dann
88	will	1746	wollen
89	mein	1719	mein
90	mehr	1712	mehr
91	keine	1696	kein
92	etwas	1682	etwas
93	alles	1665	alles
94	muss	1646	müssen
95	immer	1632	immer
96	nichts	1626	nichts
97	man	1577	man
98	wieder	1574	wieder
99	bei	1468	bei
100	hab	1467	haben
101	machen	1416	machen
102	vor	1372	vor
103	Mann	1360	Mann
104	ihm	1332	ihm
105	einem	1330	ein
106	tun	1330	tun
107	zum	1317	zu
108	können	1315	können
109	sagen	1307	sagen
110	werde	1290	werden
111	denn	1284	denn
112	Ist	1261	sein
113	Ein	1259	ein
114	Warum	1247	warum
115	einer	1229	einer;ein
116	gehen	1225	gehen
117	sehen	1224	sehen
118	sehr	1210	sehr
119	geht	1210	gehen
120	alle	1182	alle
121	über	1178	über
122	müssen	1146	müssen
123	diese	1140	dieser
124	einfach	1138	einfach
125	euch	1130	euch
126	des	1114	der
127	nie	1111	nie
128	Also	1107	also
129	Wo	1079	wo
130	los	1062	los
131	Zeit	1061	Zeit
132	Ihnen	1060	ihnen;Ihnen
133	gibt	1050	geben
134	wirklich	1048	wirklich
135	Hey	1046	hey
136	Danke	1026	danke
137	deine	1024	dein
138	würde	1023	werden
139	soll	1006	sollen
140	Da	1001	da
141	hatte	980	haben
142	Hier	965	hier
143	wissen	965	wissen
144	bitte	964	bitte
145	viel	960	viel
146	Dann	950	dann
147	So	939	so
148	gesagt	924	sagen
149	Ihr	917	ihr;Ihr
150	am	905	an
151	kein	902	kein
152	Komm	898	kommen
153	Wer	896	wer
154	zurück	889	zurück
155	wurde	887	werden
156	In	871	in
157	wollte	863	wollen
158	Frau	850	Frau
159	Leben	846	leben;Leben
160	wäre	833	sein
161	wo	833	wo
162	damit	828	damit
163	Nicht	827	nicht
164	Gott	815	Gott
165	Leute	788	Leute
166	kannst	788	können
167	heute	785	heute
168	meinen	774	mein
169	dieser	774	dieser
170	dein	774	dein
171	kommt	772	kommen
172	kommen	772	kommen
173	willst	758	wollen
174	Na	749	na
175	wollen	747	wollen
176	sicher	739	sicher
177	ganz	730	ganz
178	Jetzt	726	jetzt
179	Mein	718	mein
180	Mr	713	Mr.
181	also	704	also
182	zur	703	zu
183	Hast	703	haben
184	Gut	701	gut
185	hätte	696	haben
186	weil	691	weil
187	tut	689	tun
188	Hallo	689	hallo
189	Okay	686	okay
190	macht	684	machen
191	waren	673	sein
192	bis	664	bis
193	Vielleicht	662	vielleicht
194	könnte	661	können
195	Eine	661	ein
196	Bitte	658	bitte;Bitte
197	weg	656	weg
198	seine	654	sein
199	lassen	653	lassen
200	Vater	651	Vater
201	gesehen	651	sehen
202	Nun	647	nun
203	gerade	646	gerade
204	Alles	645	alles
205	glaube	645	glauben
206	Tag	642	Tag
207	ab	641	ab
208	Geld	640	Geld
209	gemacht	637	machen
210	nein	628	nein
211	Sir	613	Sir
212	sollte	612	sollen
213	sagte	604	sagen
214	keinen	601	kein
215	durch	595	durch
216	zwei	592	zwei
217	diesen	590	dieser
218	passiert	587	passieren
219	wohl	584	wohl
220	vielleicht	575	vielleicht
221	ihre	568	ihre
222	Mutter	567	Mutter
223	reden	567	reden
224	anderen	563	anderer
225	dachte	563	denken
226	daß	562	daß
227	möchte	560	mögen
228	wirst	560	werden
229	gehört	557	hören;gehören
230	weißt	557	wissen
231	Keine	552	keine
232	raus	552	raus
233	Meine	551	meine
234	paar	550	paar
235	besser	550	gut
236	ob	543	ob
237	her	540	her
238	musst	539	müssen
239	Ordnung	538	Ordnung
240	meiner	535	mein
241	klar	531	klar
242	ihnen	529	ihnen
243	Los	521	los;Los
244	diesem	519	dieser
245	meinem	517	mein
246	lange	515	lange
247	Lass	509	lassen
248	dieses	508	dieser
249	helfen	506	helfen
250	unsere	501	unser
251	Weg	498	Weg
252	selbst	497	selbst
253	Nur	496	nur
254	finden	493	finden
255	Mal	491	mal;Mal
256	jemand	486	jemand
257	denke	482	denken
258	Ach	482	ach
259	Nacht	479	Nacht
260	genau	476	genau
261	gar	473	gar
262	sagt	472	sagen
263	Welt	472	Welt
264	Auf	469	auf
265	Mädchen	468	Mädchen
266	ins	468	in
267	hin	467	hin
268	vom	465	von
269	schön	463	schön
270	warum	461	warum
271	weiter	461	weiter
272	Leid	460	leid;Leid
273	gleich	458	gleich
274	wer	457	wer
275	Man	457	man
276	ohne	448	ohne
277	Menschen	447	Mensch
278	deinen	446	dein
279	leid	445	leid
280	Wieso	444	wieso
281	dort	442	dort
282	Als	440	als
283	Hause	440	Haus
284	sollten	440	sollen
285	davon	439	davon
286	zusammen	439	zusammen
287	geben	434	geben
288	Ok	433	Ok
289	Hör	433	hören
290	machst	430	machen
291	Freund	427	Freund
292	richtig	426	richtig
293	Angst	424	Angst
294	Bist	422	sein
295	Tut	420	tun
296	Mit	419	mit
297	viele	411	viel
298	sieht	406	sehen
299	Haus	404	Haus
300	tot	404	tot
301	sollen	402	sollen
302	ganze	396	ganz
303	andere	394	anderer
304	getan	393	tun
305	okay	390	okay
306	rein	389	rein
307	Diese	389	dieser
308	Moment	385	Moment
